Gene symbol,Gene name,Hour(s) with a significant caste difference:,logFC at 2h,logFC at 4h,logFC at 6h,logFC at 8h
LOC727593,UDP-glucuronosyltransferase 2C1,"4, 6",0.15,0.6,0.59,0.26
LOC410189,5'-nucleotidase domain-containing protein 3,8,0.01,-0.28,-0.4,-0.92
LOC727293,guanine deaminase,"6, 8",-0.2,-0.43,-0.5,-0.46
LOC413789,elongation of very long chain fatty acids protein AAEL008004,4,0.24,0.65,0.52,0.18
LOC411525,choline/ethanolamine kinase,"4, 6",0.19,0.5,0.6,0.3
LOC726461,protein shank,"6, 8",0.27,0.15,0.48,0.7
LOC102656433,uncharacterized LOC102656433,8,-0.27,-0.33,-0.4,-0.59
LOC413021,papilin,8,0.1,-0.23,-0.44,-1.02
LOC107964839,rootletin,8,0.03,-0.4,-0.34,-0.88
Abscam,Dscam family member AbsCAM,6,-0.07,0.48,0.89,0.3
LOC552840,deoxynucleoside kinase,"6, 8",-0.13,-0.29,-0.52,-0.65
LOC724959,WASH complex subunit 2,8,0.09,-0.51,-0.38,-0.79
LOC100578519,uncharacterized protein PF11_0207,8,-0.06,-0.26,-0.43,-0.84
LOC107964911,CRISP/Allergen/PR-1,8,0.91,0.29,-0.25,0.64
LOC107964510,uncharacterized LOC107964510,6,-0.11,-0.3,-0.73,-0.45
LOC411288,"cAMP-specific 3',5'-cyclic phosphodiesterase",4,0.27,0.67,0.42,0.22
LOC726589,dentin matrix acidic phosphoprotein 1,8,-0.15,-0.39,-0.45,-0.59
LOC551460,homeobox protein cut,"6, 8",0.06,0.33,0.53,0.66
LOC413740,iodotyrosine deiodinase 1,8,0.02,0.53,0.36,0.67
LOC410492,cytochrome P450 9e2,8,-0.04,0.67,0.22,0.73
LOC410018,protein I'm not dead yet,"6, 8",0.3,0.24,0.45,0.6
LOC102655272,NHP2-like protein 1,6,-0.25,-0.43,-0.71,-0.18
LOC100578579,uncharacterized LOC100578579,8,0.16,0.53,0.36,0.53
LOC413588,bystin,"4, 6, 8",-0.18,-0.47,-0.43,-0.49
LOC409139,uncharacterized LOC409139,6,0.28,0.25,0.6,0.43
LOC551737,synapsin,4,0.18,0.69,0.27,0.42
LOC102654781,protein G12,"6, 8",0.03,-0.25,-0.65,-0.7
LOC724372,nucleolar protein 12,8,-0.3,-0.3,-0.4,-0.57
LOC725099,spermidine synthase,"4, 6, 8",-0.07,-0.71,-0.46,-0.33
LOC551739,DNA primase large subunit,"6, 8",-0.26,-0.34,-0.51,-0.45
LOC100578797,uncharacterized LOC100578797,8,0.19,0.25,0.32,0.81
LOC413964,serine/threonine-protein kinase grp,"6, 8",-0.17,-0.38,-0.66,-0.35
LOC100577801,zinc finger protein ush,8,0.39,0.3,0.43,0.44
LOC726537,probable ATP-dependent RNA helicase DDX27,8,-0.14,-0.32,-0.44,-0.66
LOC100578014,CCAAT/enhancer-binding protein zeta,8,-0.21,-0.4,-0.38,-0.57
LOC725350,GATA-binding factor A,8,-0.06,0.51,0.32,0.79
LOC413620,uncharacterized LOC413620,8,0.34,-0.57,-0.33,-1.01
LOC413529,something about silencing protein 10,8,-0.32,-0.34,-0.38,-0.52
LOC100576623,piggyBac transposable element-derived protein 4,"6, 8",-0.34,-0.21,-0.52,-0.47
LOC100576146,aladin,"6, 8",-0.02,-0.28,-0.64,-0.61
LOC724442,serine-rich adhesin for platelets,"4, 6",0.3,0.59,0.53,0.13
LOC725618,myb-binding protein 1A,8,-0.06,-0.43,-0.39,-0.66
LOC412315,ran-specific GTPase-activating protein,"6, 8",-0.29,-0.28,-0.51,-0.47
LOC409360,fatty acid hydroxylase domain-containing protein 2,8,0.14,0.45,0.26,0.7
LOC408920,long-chain fatty acid transport protein 4,"6, 8",0.04,0.17,0.51,0.83
LOC725961,coiled-coil domain-containing protein 58,"6, 8",-0.24,-0.35,-0.57,-0.39
LOC113219065,uncharacterized LOC113219065,"4, 8",-0.18,0.65,0.33,0.74
LOC413749,serine protease inhibitor 88Ea,8,-0.04,0.32,0.48,0.78
LOC409515,long-chain-fatty-acid--CoA ligase 4,"4, 6, 8",0.06,-0.44,-0.53,-0.62
LOC113218557,uncharacterized LOC113218557,8,-0.04,-0.46,-0.4,-0.63
LOC725144,uncharacterized LOC725144,"4, 6",0.03,0.66,0.57,0.27
LOC413582,Allatostatin A receptor,"6, 8",0.05,0.23,0.65,0.6
LOC408435,"POU domain, class 6, transcription factor 2",4,0.18,0.86,0.31,0.18
Y-y,yellow-y,8,0.02,0.25,0.41,0.86
nAChRa6,nicotinic acetylcholine receptor alpha6 subunit,4,0.02,0.95,0.57,-0.01
LOC107965749,acyl-CoA Delta(11) desaturase-like,"4, 8",0.11,0.58,0.33,0.52
LOC100578343,uncharacterized LOC100578343,"4, 6, 8",0.1,0.44,0.4,0.58
LOC409626,chymotrypsin-2,8,0.1,0.29,0.42,0.72
LOC410638,aromatic-L-amino-acid decarboxylase,6,0.47,0.18,0.74,0.15
LOC725400,4-hydroxyphenylpyruvate dioxygenase,"4, 8",-0.28,0.65,0.37,0.79
LOC100577222,uncharacterized LOC100577222,8,-0.31,0.51,0.3,1.02
LOC412745,blastoderm-specific protein 25D,8,0.28,-0.46,-0.3,-1.05
LOC410438,neuroendocrine convertase 1,"6, 8",0,0.24,0.52,0.76
LOC412960,receptor-type tyrosine-protein phosphatase kappa,4,0.14,1.14,0.14,0.1
LOC552326,uncharacterized LOC552326,6,-0.02,-0.04,-1.07,-0.4
LOC408451,NADPH oxidase 5,6,0.14,0.6,0.63,0.15
LOC724921,uncharacterized LOC724921,8,0.49,-0.3,-0.39,-1.32
LOC410254,"glutaryl-CoA dehydrogenase, mitochondrial",8,-0.02,0.41,0.41,0.71
LOC409714,serine-rich adhesin for platelets,6,0.26,0.38,0.63,0.24
LOC100578698,uncharacterized LOC100578698,8,-0.02,0.42,0.35,0.75
LOC726733,cysteine-rich protein 1,8,0,0.49,0.24,0.78
LOC725332,nuclear pore complex protein Nup160 homolog,8,0.12,-0.4,-0.34,-0.89
LOC412817,importin-4,8,0.17,-0.47,-0.38,-0.84
LOC551860,uncharacterized LOC551860,8,0.06,-0.51,-0.35,-0.71
LOC100577676,E3 ubiquitin-protein ligase TRAIP,8,-0.1,-0.38,-0.51,-0.52
LOC100576421,uncharacterized LOC100576421,"6, 8",0.27,0.36,0.5,0.38
LOC413591,nucleolar complex protein 2 homolog,8,-0.14,-0.28,-0.45,-0.64
LOC552037,POC1 centriolar protein homolog A,6,-0.38,-0.11,-0.69,-0.33
LOC107966044,uncharacterized LOC107966044,6,-0.04,0.06,1.13,0.36
LOC413553,zinc transporter ZIP1-like,8,0.25,0.36,0.48,0.43
LOC113218664,putative uncharacterized protein DDB_G0282499,8,0.03,-0.44,-0.09,-1.01
LOC100577498,actin cytoskeleton-regulatory complex protein PAN1,8,0.26,0.31,0.43,0.51
LOC100577719,uncharacterized LOC100577719,"6, 8",0.18,0.39,0.47,0.48
LOC552095,poly [ADP-ribose] polymerase,"6, 8",-0.2,-0.29,-0.42,-0.6
RCC1,regulator of chromosome condensation 1,"4, 6",-0.19,-0.52,-0.51,-0.29
LOC552245,N-acetyltransferase ESCO1,"6, 8",-0.06,-0.41,-0.45,-0.58
LOC727085,zinc finger protein 558,8,-0.15,0.23,0.61,0.82
LOC113218655,uncharacterized LOC113218655,8,-0.08,0.27,0.66,0.65
LOC412491,double-stranded RNA-specific editase 1,"6, 8",-0.07,-0.32,-0.4,-0.71
LOC725614,protein cycle,8,0.17,0.29,0.43,0.61
LOC410675,maternal B9.10 protein,8,0.51,-0.74,-0.17,-1.1
LOC408473,uncharacterized LOC408473,"6, 8",0.19,0.25,0.58,0.48
LOC410475,tRNA pseudouridine(38/39) synthase,6,-0.34,-0.44,-0.46,-0.25
LOC412898,peptidylglycine alpha-hydroxylating monooxygenase,"6, 8",0.11,0.42,0.52,0.45
LOC411809,enolase-phosphatase E1,"6, 8",-0.2,-0.36,-0.47,-0.47
LOC100576457,probable ribosome biogenesis protein RLP24,"4, 6, 8",-0.21,-0.39,-0.53,-0.37
LOC551490,collagen alpha chain CG42342,4,0.02,0.59,0.42,0.47
LOC412888,A disintegrin and metalloproteinase with thrombospondin motifs 7,8,0.05,0.48,0.28,0.68
LOC725935,claspin-like,8,-0.16,-0.33,-0.38,-0.62
LOC102655025,uncharacterized LOC102655025,8,0.06,0.32,0.15,0.95
LOC113219278,uncharacterized LOC113219278,8,-0.28,0.34,0.61,0.81
LOC410754,post-GPI attachment to proteins factor 2-like,8,0.28,-0.55,-0.5,-0.72
LOC410582,"ornithine aminotransferase, mitochondrial",8,0.08,0.26,0.33,0.82
LOC551242,eukaryotic translation initiation factor 3 subunit E,"4, 6, 8",-0.08,-0.39,-0.42,-0.59
LOC412472,protein lethal(2)denticleless,"4, 6, 8",-0.03,-0.4,-0.5,-0.56
LOC411738,lutropin-choriogonadotropic hormone receptor,8,0.45,0.05,0.42,0.57
LOC726525,serine/threonine-protein kinase fused,"6, 8",-0.08,0.35,0.43,0.78
LOC552397,Krueppel-like factor 6,"6, 8",0.35,0.39,0.37,0.37
LOC102656444,protein dopey homolog PFC0245c,8,-0.02,-0.49,-0.25,-0.72
LOC552645,mesencephalic astrocyte-derived neurotrophic factor homolog,"6, 8",-0.1,-0.37,-0.47,-0.54
LOC408887,ankyrin repeat and SAM domain-containing protein 1A,4,0.03,0.89,0.4,0.16
LOC102653944,uncharacterized LOC102653944,"6, 8",-0.2,0.33,0.63,0.71
LOC725197,protein penguin,8,0.2,-0.65,-0.18,-0.85
LOC552697,zinc transporter foi,8,0.02,-0.48,-0.37,-0.64
LOC408864,waprin-Phi1,8,0.19,0.26,0.24,0.79
LOC551799,putative mediator of RNA polymerase II transcription subunit 26,8,0.07,0.35,0.44,0.62
LOC412546,regulator of telomere elongation helicase 1 homolog,8,-0.05,-0.36,-0.33,-0.73
LOC552010,60S ribosomal export protein NMD3,"4, 8",-0.23,-0.5,-0.36,-0.37
LOC410237,uncharacterized LOC410237,"4, 6, 8",0,0.41,0.4,0.66
LOC726527,protein FAM136A,6,-0.25,-0.31,-0.49,-0.41
LOC411534,circadian locomoter output cycles protein kaput,4,0.29,0.56,0.4,0.22
LOC100576799,uncharacterized LOC100576799,"4, 6, 8",0.1,-0.47,-0.56,-0.53
LOC411201,discoidin domain-containing receptor 2,4,0.28,0.62,0.09,0.49
LOC100576773,epidermal retinol dehydrogenase 2,"6, 8",0.06,0.3,0.55,0.55
LOC410747,"glucose dehydrogenase [FAD, quinone]",6,-0.19,-0.6,-0.73,0.07
LOC725511,protein Wnt-11b,8,0.03,0.5,0.4,0.53
LOC102656390,uncharacterized LOC102656390,8,-0.2,-0.28,-0.36,-0.62
LOC725461,leucine-rich repeat protein 1,"6, 8",-0.15,-0.34,-0.59,-0.39
LOC408748,"transmembrane protein 11, mitochondrial","4, 6, 8",-0.04,-0.39,-0.62,-0.42
LOC102655585,uncharacterized LOC102655585,8,-0.07,0.48,0.21,0.85
LOC726297,"cytochrome c oxidase subunit 7C, mitochondrial",8,0.13,0.35,0.28,0.71
LOC413664,GPI transamidase component PIG-S,"4, 6, 8",0.18,0.37,0.32,0.6
LOC100578341,uncharacterized LOC100578341,"4, 6, 8",0.09,0.45,0.53,0.38
LOC724916,tetraspanin-12,4,-0.15,0.93,0.33,0.35
LOC724352,zinc finger protein 593 homolog,"6, 8",-0.14,-0.27,-0.59,-0.46
LOC107964702,uncharacterized LOC107964702,8,-0.1,0.05,0.54,0.97
LOC410972,nuclear pore complex protein Nup54,"4, 6, 8",-0.04,-0.52,-0.46,-0.43
LOC102655618,translation initiation factor eIF-2B subunit epsilon,8,-0.04,-0.41,-0.43,-0.58
LOC551901,eukaryotic translation initiation factor 4E-1A,"6, 8",-0.24,-0.28,-0.48,-0.46
LOC551311,ribosome production factor 2 homolog,6,-0.3,-0.22,-0.51,-0.43
LOC551561,"poly(A) RNA polymerase, mitochondrial",8,-0.16,-0.4,-0.34,-0.56
LOC724891,DNA polymerase epsilon subunit 2,"6, 8",-0.27,-0.25,-0.49,-0.45
LOC551990,replication factor C subunit 3,"6, 8",-0.26,-0.23,-0.49,-0.48
LOC726947,TGF-beta-activated kinase 1 and MAP3K7-binding protein 3,8,0.1,0.53,0.3,0.52
LOC552763,cell division control protein 6 homolog,"6, 8",-0.06,-0.33,-0.45,-0.62
LOC113218624,uncharacterized LOC113218624,8,0.43,0.19,0.06,0.78
LOC411115,baculoviral IAP repeat-containing protein 6,"4, 8",0.12,0.52,0.34,0.47
LOC551910,farnesyl pyrophosphate synthase,6,0.14,0.32,0.75,0.25
LOC102656594,uncharacterized LOC102656594,6,0.29,0.09,0.63,0.45
LOC725964,uncharacterized LOC725964,8,-0.14,0.62,0.2,0.77
LOC410363,uncharacterized LOC410363,4,0.21,0.66,0.4,0.18
LOC412777,sodium/potassium/calcium exchanger Nckx30C,4,0.11,0.85,0.09,0.39
LOC107964592,uncharacterized LOC107964592,8,-0.4,0.36,-0.1,1.6
LOC409455,doublesex- and mab-3-related transcription factor A2,8,0.18,0.52,0.19,0.56
LOC409590,cyclin-dependent kinase 1,"4, 6, 8",-0.07,-0.33,-0.6,-0.45
LOC412125,ubiquitin-conjugating enzyme E2-24 kDa,8,0.27,-0.55,-0.34,-0.82
LOC411396,neprilysin-4,8,-0.02,0.46,0.42,0.58
LOC413383,carbonic anhydrase-related protein 10,6,0.01,0.45,0.74,0.24
egh,"beta-1,4-mannosyltransferase egh","4, 6, 8",0.02,-0.43,-0.49,-0.54
LOC726131,mitochondrial import inner membrane translocase subunit Tim10B,6,-0.26,-0.35,-0.57,-0.26
LOC102656505,uncharacterized LOC102656505,8,-0.16,0.5,0.26,0.84
LOC551153,exodeoxyribonuclease,6,-0.24,-0.3,-0.59,-0.31
LOC551781,pre-rRNA-processing protein TSR1 homolog,"4, 6, 8",-0.09,-0.42,-0.39,-0.54
LOC410534,uncharacterized LOC410534,8,0.13,0.32,0.46,0.53
LOC102653841,uncharacterized LOC102653841,8,-0.06,-0.03,0.72,0.81
LOC551686,apoptosis inhibitor 5,8,-0,-0.33,-0.39,-0.71
LOC100577386,ankyrin repeat and LEM domain-containing protein 2,8,-0.21,-0.31,-0.32,-0.6
LOC100577220,regulatory protein MIG1,8,0.07,-0.38,-0.36,-0.77
MsrA,methionine sulphoxide reductase A,"4, 6, 8",0.12,-0.39,-0.62,-0.55
LOC410635,fumarylacetoacetate hydrolase domain-containing protein 2A,"6, 8",0.14,0.23,0.46,0.6
LOC552473,USP6 N-terminal-like protein,8,0.13,-0.38,-0.29,-0.89
LOC100577150,uncharacterized LOC100577150,8,-0.25,0.6,0.32,0.76
LOC726397,MAD2L1-binding protein,8,-0.13,-0.27,-0.52,-0.5
LOC551779,histone H2A.V,"4, 6, 8",0.05,-0.45,-0.62,-0.41
LOC410741,proton-coupled amino acid transporter-like protein pathetic,"4, 8",0.11,0.5,0.38,0.43
LOC113219217,transcription factor 15-like,8,-0.34,0.41,0.52,0.83
LOC100578023,SIFamide-related peptide,8,0.03,0.15,0.32,0.93
LOC113218528,uncharacterized LOC113218528,"4, 8",0.12,0.71,0.09,0.5
LOC107964590,uncharacterized LOC107964590,8,0.17,0.22,0.33,0.7
LOC100576924,ankyrin repeat and death domain-containing protein 1A,"4, 8",-0.08,0.6,0.42,0.49
LOC725015,monocarboxylate transporter 3,8,0.54,-0.6,-0.32,-1.04
LOC100578330,uncharacterized LOC100578330,8,-0.13,-0.45,-0.16,-0.68
LOC410501,NACHT and WD repeat domain-containing protein 2,"6, 8",0.17,0.16,0.51,0.59
LOC551376,activating signal cointegrator 1 complex subunit 1,8,-0.05,-0.52,-0.38,-0.47
LOC410410,ATP-dependent DNA helicase PIF1,"6, 8",-0.25,-0.31,-0.5,-0.35
LOC100576326,phenoloxidase-activating factor 2,"4, 8",-0.08,0.57,0.26,0.67
LOC413393,box C/D snoRNA protein 1,8,-0.11,-0.35,-0.41,-0.55
LOC412708,calcyclin-binding protein,"6, 8",-0.08,-0.25,-0.64,-0.44
LOC410872,SUMO-activating enzyme subunit 1,"6, 8",-0.26,-0.19,-0.55,-0.42
LOC411568,ribosomal oxygenase 1,"6, 8",-0.12,-0.31,-0.53,-0.46
LOC113218569,sodium-coupled monocarboxylate transporter 1-like,"6, 8",0.09,-0.34,-0.57,-0.6
LOC725611,DNA polymerase alpha catalytic subunit,8,-0.03,-0.34,-0.4,-0.66
LOC100577168,uncharacterized LOC100577168,8,0.14,0.17,0.39,0.71
LOC102653588,cleavage and polyadenylation specificity factor 73,8,-0.14,-0.24,-0.41,-0.62
LOC413678,"serine--pyruvate aminotransferase, mitochondrial",8,0.11,0.42,0.2,0.68
LOC409707,zwei Ig domain protein zig-8,8,0.03,0.21,0.34,0.83
LOC413568,probable G-protein coupled receptor 158,6,0.25,0.12,0.73,0.3
LOC552680,X-ray repair cross-complementing protein 6,8,-0.15,-0.4,-0.26,-0.61
Metrn,meteorin,"4, 8",-0.02,0.52,0.28,0.64
LOC100576125,nucleoporin NDC1,"4, 6, 8",-0.09,-0.42,-0.49,-0.41
LOC107965716,uncharacterized LOC107965716,8,0.09,-0.04,0.4,0.97
LOC552293,sialin,8,-0.06,-0.4,-0.37,-0.58
LOC100578769,uncharacterized LOC100578769,8,0.03,0.39,0.31,0.68
LOC100578691,rhoGEF domain-containing protein gxcJ,"6, 8",-0.17,-0.32,-0.45,-0.46
LOC100577065,lymphocyte expansion molecule-like,8,-0.44,0.17,0.6,1.08
LOC100578089,uncharacterized protein PF11_0213,8,-0.01,-0.45,-0.42,-0.53
LOC102655337,uncharacterized LOC102655337,8,0.12,0.35,0.33,0.6
Camkii,calcium/calmodulin-dependent protein kinase II,4,0.27,0.57,0.34,0.22
LOC408914,BAI1-associated protein 3,"4, 8",0,0.6,0.3,0.5
LOC409558,polyadenylate-binding protein 2-B,8,0.26,-0.34,-0.31,-1.01
LOC102653834,uncharacterized LOC102653834,8,0.09,0.47,-0.79,-1.17
LOC413481,probable chitinase 10,"6, 8",-0.1,0.23,0.68,0.59
LOC413168,retinol dehydrogenase 14,8,-0.23,0.41,0.27,0.95
LOC413350,lachesin,"4, 8",0.12,0.58,0.15,0.55
LOC550673,inosine-5'-monophosphate dehydrogenase 1b,"4, 6, 8",-0.04,-0.46,-0.39,-0.51
LOC551137,proton-associated sugar transporter A,8,0.14,0.44,0.33,0.49
LOC113218578,uncharacterized LOC113218578,8,-0.05,0.52,0.19,0.74
LOC552480,BTB/POZ domain-containing protein KCTD5,8,-0.04,-0.36,-0.35,-0.65
LOC725143,probable U3 small nucleolar RNA-associated protein 11,6,-0.37,-0.3,-0.42,-0.32
LOC725922,mitochondrial basic amino acids transporter,8,-0.15,0.4,0.43,0.72
LOC552536,adipocyte plasma membrane-associated protein,8,-0.06,-0.4,-0.28,-0.66
LOC412531,GATOR complex protein NPRL3,8,0.05,-0.41,-0.4,-0.64
LOC413441,dnaJ homolog subfamily C member 3,"6, 8",0.09,-0.34,-0.45,-0.7
LOC412294,deoxynucleotidyltransferase terminal-interacting protein 2,"6, 8",-0.22,-0.3,-0.51,-0.36
LOC725654,cell growth regulator with RING finger domain protein 1,6,0.3,0.35,0.57,0.17
LOC551222,syntaxin-12,8,0.27,-0.58,-0.18,-0.91
LOC113218581,uncharacterized LOC113218581,8,-0.03,0.36,0.38,0.68
LOC413043,UDP-glucuronosyltransferase 1-3,8,0.15,-0.04,-0.54,-0.95
LOC113219374,uncharacterized LOC113219374,8,0.28,-0.46,-0.36,-0.84
LOC414043,leucine-rich repeat-containing protein 49,8,-0.29,-0.19,-0.33,-0.58
LOC408953,peroxidase,"6, 8",0.17,0.32,0.44,0.45
LOC410765,"7,8-dihydro-8-oxoguanine triphosphatase","6, 8",-0.15,-0.2,-0.56,-0.47
LOC724251,alpha-sarcoglycan,"6, 8",0.11,0.22,0.53,0.52
LOC552515,ATP-dependent RNA helicase WM6,"4, 6, 8",-0.07,-0.34,-0.52,-0.45
LOC107965063,uncharacterized LOC107965063,8,0.2,0.28,0.26,0.63
LOC113218540,uncharacterized LOC113218540,8,-0.07,0.4,0.29,0.76
LOC410320,whirlin,"6, 8",0.14,0.33,0.45,0.46
LOC100578237,uncharacterized protein PF11_0213,8,-0.17,-0.33,-0.34,-0.53
LOC100576683,uncharacterized LOC100576683,"6, 8",0.14,0.09,0.63,0.52
LOC408869,lissencephaly-1 homolog,8,0.03,0.35,0.35,0.65
LOC552801,mitoferrin-1,8,0.16,-0.45,-0.32,-0.76
LOC410246,netrin receptor UNC5B,8,0.07,0.36,0.27,0.66
LOC410322,ral guanine nucleotide dissociation stimulator,8,0.06,0.38,0.38,0.56
LOC724465,enhancer of split mbeta protein,8,-0.11,0.38,0.28,0.82
LOC409043,high-affinity choline transporter 1,8,0.03,0.33,0.22,0.79
LOC726798,sn1-specific diacylglycerol lipase beta,4,-0.03,0.66,0.44,0.3
UHRF1,ubiquitin-like with PHD and ring finger domains 1,8,-0.03,-0.37,-0.2,-0.76
LOC725732,uncharacterized LOC725732,6,0.27,0.28,0.57,0.25
LOC727324,prolactin-releasing peptide receptor,8,-0.19,0.7,0.12,0.74
LOC113219119,uncharacterized LOC113219119,8,-0.02,-0.51,-0.23,-0.61
LOC410269,probable multidrug resistance-associated protein lethal(2)03659,"4, 6",0.34,0.45,0.46,0.13
LOC724843,uncharacterized LOC724843,8,0.1,-0.53,-0.07,-0.87
LOC107964882,uncharacterized LOC107964882,8,-0.23,0.44,0.33,0.82
LOC413324,chitinase-like protein Idgf4,8,0.02,0.39,0.35,0.6
LOC412436,protein CASC1,8,0.09,0.51,0.31,0.45
LOC100576110,zinc finger protein GLI4,"6, 8",0.13,0.23,0.4,0.6
LOC410891,protein dispatched,8,0.33,-0.55,-0.4,-0.74
LOC726625,4-coumarate--CoA ligase 1,8,0.14,0.39,0.36,0.46
LOC409859,DNA replication factor Cdt1,8,-0.03,-0.37,-0.3,-0.66
LOC100577522,uncharacterized LOC100577522,8,-0.45,0.71,0.34,0.76
LOC725106,UDP-glucuronosyltransferase 1-8,8,0.11,0.34,0.36,0.54
LOC411140,putative aldehyde dehydrogenase family 7 member A1 homolog,8,-0.32,0.14,0.42,1.12
LOC102653782,uncharacterized LOC102653782,8,-0.65,0.44,0.25,1.31
LOC100578877,uncharacterized LOC100578877,8,0.18,0.46,0.24,0.47
LOC410456,uncharacterized LOC410456,8,0.18,0.24,0.35,0.59
LOC411640,DNA replication licensing factor Mcm2,8,-0.01,-0.23,-0.37,-0.74
LOC413567,L-xylulose reductase,8,-0.07,0.22,0.4,0.81
LOC410879,U3 small nucleolar RNA-interacting protein 2,"6, 8",-0.22,-0.35,-0.42,-0.36
LOC100578005,nucleolar protein 56,"6, 8",-0.1,-0.19,-0.47,-0.59
LOC107964413,uncharacterized LOC107964413,"6, 8",-0.31,0.41,0.68,0.58
LOC725558,uncharacterized LOC725558,8,-0.18,0.17,0.62,0.74
LOC724927,importin-5,"4, 6, 8",0.02,-0.46,-0.37,-0.54
LOC410953,MLX-interacting protein,6,0.42,0.31,0.62,-0
LOC724193,kinesin 8,8,-0.07,-0.25,-0.4,-0.63
Eth,ecdysis triggering hormone,8,-0.11,0.33,0.38,0.76
LOC726478,inhibin beta C chain,8,0.1,-0.08,0.37,0.95
LOC102655479,putative uncharacterized protein DDB_G0271606,6,0.13,0.4,0.51,0.31
LOC408275,uncharacterized LOC408275,"6, 8",0.05,0.28,0.5,0.51
LOC726231,GRB2-associated-binding protein 2,"6, 8",0.16,0.32,0.42,0.45
LOC726664,alpha-tubulin N-acetyltransferase,6,0.25,0.38,0.48,0.24
LOC551846,membralin,4,0.13,0.59,0.38,0.25
LOC408533,mitogen-activated protein kinase kinase kinase 15,8,0.15,-0.4,-0.24,-0.85
LOC552345,gamma-1-syntrophin,"6, 8",-0.18,-0.33,-0.46,-0.37
LOC413691,condensin complex subunit 3,"6, 8",-0.24,-0.27,-0.4,-0.44
LOC102656029,homeobox protein Hmx,8,0.04,0.31,0.34,0.65
LOC100576747,maternal protein tudor,8,0.25,-0.49,-0.23,-0.87
LOC552348,methyltransferase-like protein 23,8,0.25,-0.49,-0.3,-0.8
LOC411909,ran GTPase-activating protein 1,"6, 8",-0.18,-0.26,-0.44,-0.46
LOC726804,protein BTG2,"4, 6",0.4,0.56,0.53,-0.16
LOC552648,GPN-loop GTPase 3,6,-0.23,-0.26,-0.61,-0.24
Tpx-4,thioredoxin peroxidase 4,8,-0.01,0.33,0.34,0.67
LOC100577629,uncharacterized LOC100577629,8,0.06,0.51,0.26,0.51
LOC113218710,uncharacterized LOC113218710,8,-0.07,0.32,0.4,0.68
LOC551896,transcription factor E2F4,8,-0.16,-0.41,-0.33,-0.44
LOC102655778,"translation factor GUF1 homolog, mitochondrial","6, 8",-0.2,-0.35,-0.43,-0.35
LOC410802,microphthalmia-associated transcription factor,8,0.19,0.22,0.35,0.57
LOC414048,ribosome biogenesis protein BMS1 homolog,8,-0.12,-0.28,-0.42,-0.51
LOC551036,vacuole membrane protein 1,"4, 6, 8",-0.06,-0.4,-0.4,-0.47
LOC724220,synaptotagmin-10,8,0.09,0.43,0.22,0.59
LOC724212,60 kDa SS-A/Ro ribonucleoprotein,8,0.25,-0.4,-0.18,-1
LOC726506,kinesin 14,"6, 8",-0.19,-0.31,-0.45,-0.37
LOC724743,PRKC apoptosis WT1 regulator protein,"6, 8",0.17,0.23,0.44,0.49
LOC410295,queuine tRNA-ribosyltransferase accessory subunit 2,"4, 6, 8",-0.16,-0.48,-0.4,-0.28
LOC724946,cytochrome P450 6a14-like,"6, 8",-0.12,0.25,0.69,0.5
nAChRb1,nicotinic acetylcholine receptor beta1 subunit,8,0.2,0.39,0.08,0.65
LOC100577513,uncharacterized LOC100577513,8,-0.17,0.45,0.13,0.92
LOC724367,protein lethal(2)essential for life,4,1.02,0.96,-0.62,-0.03
Glob1,globin 1,8,-0.1,0.45,0.39,0.59
LOC724718,xanthine dehydrogenase,6,0.06,0.3,0.64,0.32
Burs,bursicon subunit alpha,8,-0.04,0.31,0.16,0.89
LOC551595,WD repeat-containing protein CG11141,8,-0.06,-0.34,-0.21,-0.71
LOC552359,active regulator of SIRT1,6,-0.24,-0.24,-0.57,-0.27
LOC113219131,uncharacterized LOC113219131,6,0.37,0.04,0.88,0.04
LOC413400,double-strand break repair protein MRE11,8,-0.3,-0.2,-0.41,-0.4
LOC413280,acidic leucine-rich nuclear phosphoprotein 32 family member A,8,0.09,-0.46,-0.25,-0.69
LOC726407,uncharacterized LOC726407,8,-0.02,0.33,0.28,0.74
LOC727157,pro-resilin,8,-0.07,0.19,0.11,1.09
LOC411209,uncharacterized LOC411209,8,0.48,-0.1,0.39,0.54
LOC726468,histone H2A,8,-0.13,0.47,0.21,0.78
LOC552781,H/ACA ribonucleoprotein complex subunit 2-like protein,6,-0.21,-0.31,-0.54,-0.25
LOC414021,uncharacterized LOC414021,6,0.22,0.52,0.71,-0.13
LOC552169,DNA repair and recombination protein RAD54B,8,-0.07,-0.34,-0.26,-0.65
LOC724203,ribosome biogenesis protein BRX1 homolog,"6, 8",-0.2,-0.25,-0.44,-0.43
LOC100576384,tyrosine-protein phosphatase 10D,4,0.2,0.44,0.38,0.3
LOC408676,CREB-regulated transcription coactivator 1,8,0.02,0.5,0.26,0.53
LOC408903,uncharacterized LOC408903,8,0.08,0.34,0.29,0.6
LOC100578424,uncharacterized LOC100578424,8,-0.25,-0.3,-0.37,-0.4
LOC408574,uncharacterized LOC408574,"6, 8",0.05,0.34,0.49,0.43
LOC412271,serine/threonine-protein kinase Aurora-2,"6, 8",-0.14,-0.3,-0.42,-0.45
LOC552148,thymidylate kinase,"6, 8",-0.08,-0.31,-0.43,-0.5
