Gene symbol,Gene name,Significant temporal comparisons:,logFC: 0 vs 2h,logFC: 0 vs 4h,logFC: 0 vs 6h,logFC: 0 vs 8h,logFC: 2 vs 4h,logFC: 2 vs 6h,logFC: 2 vs 8h,logFC: 4 vs 6h,logFC: 4 vs 8h,logFC: 6 vs 8h
LOC410428,uncharacterized LOC410428,0 vs 4; 0 vs 6; 0 vs 8,-0.34,-0.62,-0.91,-0.96,-0.28,-0.57,-0.62,-0.29,-0.34,0.63
LOC102653673,putative uncharacterized protein DDB_G0271606,0 vs 4; 0 vs 6; 0 vs 8,-0.8,-1.4,-0.96,-0.99,-0.59,-0.15,-0.19,0.44,0.4,0.61
LOC411387,O-acyltransferase like protein,0 vs 4; 0 vs 6; 0 vs 8,-1.45,-1.09,-1.52,-1.48,0.36,-0.07,-0.03,-0.43,-0.39,0.64
LOC552799,uncharacterized LOC552799,0 vs 4; 0 vs 6; 0 vs 8,2.12,3.43,4.65,4.69,1.32,2.53,2.57,1.22,1.26,-2.37
LOC100578121,uncharacterized LOC100578121,0 vs 4; 0 vs 6; 0 vs 8,0.37,0.61,0.86,0.83,0.24,0.49,0.46,0.25,0.22,-0.47
LOC100578253,Golgi integral membrane protein 4,0 vs 4; 0 vs 6; 0 vs 8,0.09,0.08,0.12,0.14,-0.01,0.03,0.05,0.04,0.06,0.06
LOC409976,transmembrane emp24 domain-containing protein 5,0 vs 4; 0 vs 6; 0 vs 8,0.19,0.35,0.52,0.71,0.16,0.34,0.52,0.18,0.36,-0.33
LOC551517,beta-TrCP,0 vs 4; 0 vs 6; 0 vs 8,0.3,0.24,0.2,0.18,-0.06,-0.1,-0.12,-0.03,-0.06,0.05
LOC100578829,elongation of very long chain fatty acids protein 1,0 vs 6; 0 vs 8; 2 vs 8,0.45,0.78,2.03,2.06,0.33,1.58,1.61,1.25,1.27,-1.36
LOC413543,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",0 vs 6; 0 vs 8; 2 vs 8,0.66,0.79,1.47,1.81,0.13,0.8,1.14,0.67,1.01,-0.84
LOC410748,"glucose dehydrogenase [FAD, quinone]",0 vs 6; 0 vs 8; 2 vs 8,0.9,1.41,2.37,3,0.52,1.47,2.1,0.95,1.58,-1.29
LOC102655319,inner centromere protein A,0 vs 6; 0 vs 8; 2 vs 8,1.03,1.48,2.94,3.62,0.45,1.91,2.59,1.46,2.14,-2.03
CTL5,C-type lectin 5,0 vs 6; 0 vs 8; 2 vs 8,1.05,1.69,3.42,4.06,0.64,2.37,3.01,1.73,2.37,-2.44
LOC726495,protein D2,0 vs 6; 0 vs 8; 2 vs 8,0.54,1.11,1.75,2.08,0.57,1.21,1.54,0.64,0.97,-1.28
LOC725258,very-long-chain 3-oxoacyl-CoA reductase,0 vs 6; 0 vs 8; 2 vs 8,-0.37,-0.72,-0.34,-0.02,-0.36,0.03,0.34,0.38,0.7,-0.25
LOC413481,probable chitinase 10,0 vs 6; 0 vs 8; 2 vs 8,0.34,0.93,1.62,1.96,0.59,1.28,1.62,0.69,1.02,-1.18
LOC551924,mucin-1,0 vs 6; 0 vs 8; 2 vs 8,-0.31,-0.48,-0.7,-0.78,-0.17,-0.39,-0.47,-0.22,-0.3,0.42
LOC725622,uncharacterized LOC725622,0 vs 6; 0 vs 8; 2 vs 8,1.13,1.54,2.88,3.33,0.41,1.74,2.2,1.34,1.79,-1.58
LOC102654212,uncharacterized LOC102654212,0 vs 6; 0 vs 8; 2 vs 8,-0.39,-1.65,-3.12,-3.21,-1.26,-2.73,-2.82,-1.48,-1.56,2.89
LOC551905,uncharacterized LOC551905,0 vs 6; 0 vs 8; 2 vs 8,1.53,2.43,4.92,5.84,0.91,3.39,4.31,2.49,3.4,-3.63
LOC408315,ceramide kinase,0 vs 6; 0 vs 8; 2 vs 8,-0.23,-0.06,-0.46,-0.67,0.16,-0.23,-0.44,-0.4,-0.61,0.18
LOC552395,"glucose dehydrogenase [FAD, quinone]",0 vs 6; 0 vs 8; 2 vs 8,1.11,0.77,2.43,3.19,-0.34,1.32,2.08,1.66,2.42,-1.52
LOC413386,uncharacterized LOC413386,0 vs 6; 0 vs 8; 2 vs 8,0.96,1.37,2.56,3.15,0.4,1.6,2.19,1.19,1.78,-1.86
LOC408361,alpha-tocopherol transfer protein-like,0 vs 6; 0 vs 8; 2 vs 8,-0.23,-0.72,-0.84,-1.16,-0.49,-0.61,-0.94,-0.12,-0.45,0.52
LOC725813,uncharacterized LOC725813,0 vs 6; 0 vs 8; 2 vs 8,0.19,0.4,0.78,1.07,0.21,0.59,0.87,0.39,0.67,-0.56
LOC725729,uncharacterized LOC725729,0 vs 6; 0 vs 8; 2 vs 8,2.03,3.44,6.14,6.48,1.42,4.11,4.45,2.69,3.03,-4.01
Hex110,hexamerin 110,0 vs 6; 0 vs 8; 2 vs 8,1.79,3.73,5.07,5.38,1.94,3.28,3.58,1.34,1.65,-3.93
LOC412526,protein disulfide-isomerase A6 homolog,0 vs 6; 0 vs 8; 2 vs 8,-0.03,0.19,0.06,0.07,0.22,0.09,0.09,-0.13,-0.12,-0.02
LOC100578498,tricalbin-3,0 vs 6; 0 vs 8; 2 vs 8,0.11,0.74,0.82,0.67,0.63,0.72,0.57,0.08,-0.07,-0.73
LOC102655243,uncharacterized LOC102655243,0 vs 6; 0 vs 8; 2 vs 8,0.45,0.53,2.58,3.2,0.08,2.14,2.75,2.05,2.67,-2.35
LOC550671,venom serine protease Bi-VSP,0 vs 6; 0 vs 8; 2 vs 8,-0.15,-0.57,-1.4,-1.67,-0.42,-1.25,-1.52,-0.82,-1.1,1.2
LOC411556,cytosolic carboxypeptidase 2,0 vs 6; 0 vs 8; 2 vs 8,-0.26,-0.01,-0.63,-0.81,0.24,-0.37,-0.55,-0.61,-0.79,0.28
LOC409182,protein GDAP2 homolog,0 vs 6; 0 vs 8; 2 vs 8,0.02,-0.22,-0.3,-0.41,-0.24,-0.32,-0.42,-0.07,-0.18,0.26
LOC412569,"probable 2-oxoglutarate dehydrogenase E1 component DHKTD1 homolog, mitochondrial",0 vs 6; 0 vs 8; 2 vs 8,0.66,1.02,1.23,1.32,0.36,0.57,0.66,0.21,0.3,-0.87
LOC102654211,acyl-CoA Delta(11) desaturase,0 vs 6; 0 vs 8; 2 vs 8,0.45,1.07,2.8,3.55,0.62,2.34,3.1,1.72,2.48,-2.02
LOC102655512,uncharacterized LOC102655512,0 vs 6; 0 vs 8; 2 vs 8,1.3,1.63,3.23,4.38,0.33,1.92,3.08,1.59,2.75,-2.51
LOC725571,protein transport protein Sec61 subunit alpha,0 vs 6; 0 vs 8; 2 vs 8,0.13,-0.02,0.17,0.37,-0.14,0.04,0.25,0.18,0.39,-0.14
LOC102653832,uncharacterized LOC102653832,0 vs 6; 0 vs 8; 2 vs 8,-0.69,-0.56,-1.56,-1.84,0.13,-0.87,-1.15,-1,-1.28,1.23
LOC726758,uncharacterized LOC726758,0 vs 6; 0 vs 8; 2 vs 8,2.59,2,4.64,6.34,-0.59,2.05,3.75,2.63,4.33,-3.26
LOC726322,uncharacterized LOC726322,0 vs 6; 0 vs 8; 2 vs 8,0.47,1,1.97,2.38,0.53,1.5,1.91,0.96,1.37,-1.24
LOC726206,uncharacterized LOC726206,0 vs 6; 0 vs 8; 2 vs 8,1.93,2.68,5.99,7.07,0.75,4.05,5.14,3.31,4.39,-4.26
LOC410639,alpha-methyldopa hypersensitive protein,0 vs 6; 0 vs 8; 2 vs 8,1.03,0.58,2.95,4.29,-0.45,1.92,3.26,2.37,3.71,-2.44
LOC100578467,protein Star,0 vs 6; 0 vs 8; 2 vs 8,-0.17,-0.23,-0.81,-0.92,-0.06,-0.64,-0.75,-0.58,-0.69,0.54
LOC726185,uncharacterized LOC726185,0 vs 6; 0 vs 8; 2 vs 8,2.78,3.19,6.59,8.12,0.41,3.81,5.34,3.4,4.93,-4.54
LOC551582,maternal protein exuperantia,0 vs 6; 0 vs 8; 2 vs 8,0.09,0.02,0.03,0.24,-0.07,-0.06,0.15,0.01,0.22,-0.05
LOC102654965,uncharacterized LOC102654965,0 vs 6; 0 vs 8; 2 vs 8,-0.25,-0.35,0.31,0.01,-0.1,0.55,0.26,0.66,0.37,-0.65
LOC410038,collagen alpha-1(I) chain,0 vs 6; 0 vs 8; 2 vs 8,0.02,-0.68,-0.8,-0.8,-0.69,-0.82,-0.81,-0.12,-0.12,0.66
LOC100577656,uncharacterized LOC100577656,0 vs 6; 0 vs 8; 2 vs 8,1.56,2.25,3.7,4.21,0.69,2.14,2.65,1.45,1.97,-2.41
LOC408277,uncharacterized LOC408277,0 vs 6; 0 vs 8; 2 vs 8,1.34,2.22,4.27,4.61,0.88,2.93,3.27,2.05,2.39,-3.03
LOC725353,neurotrophin 1,0 vs 6; 0 vs 8; 2 vs 8,1.19,1.75,3.46,3.9,0.56,2.27,2.71,1.71,2.15,-2.23
LOC725963,dynein regulatory complex protein 9,0 vs 6; 0 vs 8; 2 vs 8,-0.51,-0.36,-0.53,-0.94,0.15,-0.02,-0.43,-0.17,-0.58,0.44
LOC727146,sphingomyelin phosphodiesterase,0 vs 6; 0 vs 8; 2 vs 8,0.26,0.58,0.76,0.86,0.32,0.5,0.61,0.18,0.29,-0.64
LOC552234,surfeit locus protein 4 homolog,0 vs 6; 0 vs 8; 2 vs 8,0.03,0.06,0.07,0.05,0.03,0.04,0.02,0.01,-0.01,-0.1
LOC552417,acyl-CoA Delta(11) desaturase,0 vs 6; 0 vs 8; 2 vs 8,1.31,2.18,3.83,4.28,0.87,2.51,2.96,1.64,2.09,-2.58
LOC107964997,uncharacterized LOC107964997,0 vs 6; 0 vs 8; 2 vs 8,-0.34,-0.54,-1.53,-1.51,-0.21,-1.2,-1.18,-0.99,-0.97,1.35
LOC724145,transmembrane protease serine 9,0 vs 6; 0 vs 8; 2 vs 8,-1.25,-2.13,-4.66,-5.51,-0.88,-3.42,-4.27,-2.53,-3.39,3.85
LOC113219288,uncharacterized LOC113219288,0 vs 6; 0 vs 8; 2 vs 8,1.67,1.44,3.3,3.84,-0.23,1.63,2.17,1.86,2.4,-2.28
LOC100577198,uncharacterized LOC100577198,0 vs 6; 0 vs 8; 2 vs 8,-0.24,-0.1,-0.55,-1.08,0.14,-0.3,-0.83,-0.45,-0.98,0.39
LOC409911,protein disulfide-isomerase A3,0 vs 6; 0 vs 8; 2 vs 8,-0.07,-0.01,0.05,0.03,0.06,0.12,0.1,0.06,0.03,-0.03
LOC410365,laccase 2,0 vs 6; 0 vs 8; 2 vs 8,1,1.14,3.36,4.42,0.13,2.35,3.41,2.22,3.28,-3.16
LOC100576192,uncharacterized LOC100576192,0 vs 6; 0 vs 8; 2 vs 8,1.84,2.27,4.7,6.05,0.43,2.86,4.21,2.43,3.78,-3.82
LOC726094,uncharacterized LOC726094,0 vs 6; 0 vs 8; 2 vs 8,3.29,4.21,7.31,8.68,0.92,4.02,5.4,3.1,4.48,-5.13
LOC410725,uncharacterized LOC410725,0 vs 6; 0 vs 8; 2 vs 8,0.46,0.67,1.01,1.06,0.22,0.56,0.61,0.34,0.39,-0.72
LOC409790,multiple coagulation factor deficiency protein 2 homolog,0 vs 6; 0 vs 8; 2 vs 8,0.07,0.1,0.17,0.26,0.03,0.1,0.19,0.07,0.15,-0.13
LOC408959,protein unc-13 homolog 4B,0 vs 8; 2 vs 8; 4 vs 8,0.06,-0.01,0.4,0.43,-0.07,0.34,0.37,0.41,0.44,-0.24
LOC107965005,keratin-associated protein 19-2,0 vs 8; 2 vs 8; 4 vs 8,-0.66,-0.51,-1.92,-1.49,0.15,-1.26,-0.84,-1.41,-0.98,1.45
LOC551703,clavesin-2,0 vs 8; 2 vs 8; 4 vs 8,0.18,0.28,1.05,1.38,0.1,0.88,1.21,0.77,1.1,-1.02
LOC408480,PTB domain-containing engulfment adapter protein 1,0 vs 8; 2 vs 8; 4 vs 8,0.33,0.65,0.8,0.97,0.32,0.47,0.64,0.15,0.33,-0.52
LOC100576956,metalloproteinase inhibitor 3,0 vs 8; 2 vs 8; 4 vs 8,0.64,0.39,1.08,1.26,-0.26,0.44,0.62,0.69,0.87,-0.66
LOC100577237,ankyrin repeat and ELMO domain-containing protein D,0 vs 8; 2 vs 8; 4 vs 8,0.08,-0.05,0.75,0.87,-0.14,0.67,0.79,0.81,0.93,-0.85
LOC550964,guanylate cyclase 32E,0 vs 8; 2 vs 8; 4 vs 8,0.82,0.62,1.55,2,-0.19,0.73,1.18,0.92,1.38,-0.98
LOC409852,transcription factor SPT20 homolog,0 vs 8; 2 vs 8; 4 vs 8,0.21,0.46,1.08,1.18,0.24,0.86,0.97,0.62,0.73,-0.93
LOC552489,SEC14-like protein 2,0 vs 8; 2 vs 8; 4 vs 8,0.01,-0.03,0.29,0.71,-0.04,0.27,0.7,0.31,0.74,-0.12
LOC410638,aromatic-L-amino-acid decarboxylase,0 vs 8; 2 vs 8; 4 vs 8,0.31,0.24,1.17,1.42,-0.07,0.85,1.11,0.93,1.18,-1.32
LOC411376,estrogen sulfotransferase,0 vs 8; 2 vs 8; 4 vs 8,0.37,0.26,1.86,2.68,-0.11,1.49,2.31,1.6,2.42,-1.7
LOC726260,uncharacterized LOC726260,0 vs 8; 2 vs 8; 4 vs 8,0.56,0.57,1.52,2.59,0.01,0.96,2.03,0.95,2.03,-1.27
Obp1,odorant binding protein 1,0 vs 8; 2 vs 8; 4 vs 8,-0.31,0.03,-0.65,-1.11,0.34,-0.34,-0.8,-0.68,-1.14,0.55
LOC725164,serine-rich adhesin for platelets,0 vs 8; 2 vs 8; 4 vs 8,0.95,0.03,1.84,2.77,-0.91,0.9,1.82,1.81,2.73,-1.57
LOC550828,elongation of very long chain fatty acids protein AAEL008004,0 vs 8; 2 vs 8; 4 vs 8,-0.45,-1.23,-2.46,-2.04,-0.78,-2.01,-1.58,-1.24,-0.81,2.13
LOC409962,loricrin,0 vs 8; 2 vs 8; 4 vs 8,0.46,0.7,3,4.34,0.24,2.54,3.88,2.3,3.64,-3.04
LOC725882,uncharacterized LOC725882,0 vs 8; 2 vs 8; 4 vs 8,0.68,0.12,2.44,3.99,-0.57,1.76,3.31,2.33,3.88,-2.31
Grp,glycine-rich cuticle protein,0 vs 8; 2 vs 8; 4 vs 8,1.06,0.96,3.42,4.74,-0.1,2.36,3.68,2.46,3.79,-3.1
LOC411248,contactin-associated protein-like 3,0 vs 8; 2 vs 8; 4 vs 8,0.02,0.09,-0.34,-0.58,0.07,-0.36,-0.6,-0.43,-0.67,0.33
LOC724382,cuticular protein analogous to peritrophins 3-A,0 vs 8; 2 vs 8; 4 vs 8,1.5,0.73,3.35,4.99,-0.77,1.85,3.49,2.63,4.26,-2.78
LOC409163,uncharacterized LOC409163,0 vs 8; 2 vs 8; 4 vs 8,1.68,1.18,3.65,5.8,-0.5,1.97,4.12,2.46,4.61,-3.33
LOC724398,tweedle motif cuticular protein 2,0 vs 8; 2 vs 8; 4 vs 8,1.8,0.68,3.36,5.38,-1.11,1.57,3.58,2.68,4.7,-3.07
LOC726987,uncharacterized LOC726987,0 vs 8; 2 vs 8; 4 vs 8,1.28,0.7,2.38,3.09,-0.58,1.1,1.81,1.68,2.39,-1.56
LOC725041,leucine-rich repeat-containing protein 15,0 vs 8; 2 vs 8; 4 vs 8,-0.14,0.31,-0.39,-0.52,0.45,-0.25,-0.37,-0.7,-0.82,0.2
LOC410405,cytochrome P450 18a1,0 vs 8; 2 vs 8; 4 vs 8,0.11,0.12,1.29,1.77,0.01,1.18,1.66,1.17,1.65,-1.27
LOC552446,collagen alpha-1(I) chain,0 vs 8; 2 vs 8; 4 vs 8,0.15,0.19,-0.42,-0.51,0.04,-0.57,-0.66,-0.61,-0.7,0.37
LOC113218571,hydrocephalus-inducing protein-like,0 vs 8; 2 vs 8; 4 vs 8,0.31,0.35,-0.23,-0.08,0.04,-0.55,-0.4,-0.59,-0.44,0.28
LOC102656479,uncharacterized LOC102656479,0 vs 8; 2 vs 8; 4 vs 8,-0.24,0.22,-0.4,-0.74,0.46,-0.16,-0.5,-0.62,-0.96,0.46
LOC412222,uncharacterized LOC412222,0 vs 8; 2 vs 8; 4 vs 8,2.17,0.4,4.08,5.02,-1.76,1.91,2.85,3.68,4.62,-3.07
LOC408494,uncharacterized LOC408494,0 vs 8; 2 vs 8; 4 vs 8,1.02,-0.24,2.54,4.52,-1.25,1.53,3.5,2.78,4.75,-2.64
LOC107964902,uncharacterized LOC107964902,0 vs 8; 2 vs 8; 4 vs 8,2.41,1.09,3.58,5.12,-1.32,1.17,2.71,2.49,4.03,-3.05
LOC552457,"glucose dehydrogenase [FAD, quinone]",0 vs 8; 2 vs 8; 4 vs 8,0.66,-0.2,1.59,2.5,-0.85,0.93,1.84,1.78,2.7,-1.73
LOC724483,dynein regulatory complex subunit 2,0 vs 8; 2 vs 8; 4 vs 8,-0.56,-0.17,-0.71,-1.01,0.39,-0.16,-0.46,-0.54,-0.84,0.52
LOC410976,nose resistant to fluoxetine protein 6,0 vs 8; 2 vs 8; 4 vs 8,0.98,1.21,2.3,2.86,0.24,1.32,1.89,1.08,1.65,-1.85
LOC413076,ecdysone-induced protein 78C,0 vs 8; 2 vs 8; 4 vs 8,0.19,0,-1.14,-1.29,-0.18,-1.33,-1.47,-1.15,-1.29,1.36
LOC552058,uncharacterized LOC552058,0 vs 8; 2 vs 8; 4 vs 8,1.27,0.42,1.86,2.9,-0.85,0.59,1.63,1.44,2.49,-1.6
CPR17,cuticular protein 17,0 vs 8; 2 vs 8; 4 vs 8,0.96,0.2,1.64,3.11,-0.76,0.68,2.15,1.44,2.91,-1.42
LOC726920,uncharacterized LOC726920,0 vs 8; 2 vs 8; 4 vs 8,3.77,-1.01,4.83,7.94,-4.78,1.06,4.17,5.84,8.95,-4.18
LOC412763,cardiomyopathy-associated protein 5,0 vs 8; 2 vs 8; 4 vs 8,0.14,0.03,0.29,0.43,-0.11,0.14,0.28,0.25,0.39,-0.23
LOC724418,venom acid phosphatase Acph-1-like,0 vs 8; 2 vs 8; 4 vs 8,0.29,-0.83,1.02,1.77,-1.12,0.73,1.48,1.85,2.6,-0.71
LOC411298,UDP-glucuronosyltransferase 2C1,0 vs 8; 2 vs 8; 4 vs 8,0.82,0.64,2.89,4.45,-0.18,2.07,3.63,2.25,3.81,-2.7
C1q-VP,C1q-like venom protein,0 vs 8; 2 vs 8; 4 vs 8,0.59,-0.04,1.29,2.43,-0.63,0.7,1.84,1.33,2.47,-1.27
LOC726864,uncharacterized LOC726864,0 vs 8; 2 vs 8; 4 vs 8,0.64,0.02,1.87,2.71,-0.62,1.23,2.07,1.85,2.69,-2.07
LOC725683,uncharacterized LOC725683,0 vs 8; 2 vs 8; 4 vs 8,0.81,-0.23,1.93,3.42,-1.04,1.12,2.62,2.16,3.66,-1.9
LOC727290,methyl farnesoate epoxidase,0 vs 8; 2 vs 8; 4 vs 8,2.22,-0.54,3.56,5.7,-2.76,1.34,3.48,4.1,6.25,-3.13
LOC552784,uncharacterized LOC552784,0 vs 8; 2 vs 8; 4 vs 8,-0.04,-0.11,0.04,0.15,-0.07,0.07,0.19,0.14,0.26,-0.08
LOC408970,flocculation protein FLO11,0 vs 8; 2 vs 8; 4 vs 8,1.48,-0.06,2.58,4.34,-1.54,1.11,2.87,2.65,4.41,-2.33
LOC551670,argininosuccinate lyase,0 vs 8; 2 vs 8; 4 vs 8,0.1,-0.2,0.48,0.56,-0.3,0.37,0.45,0.67,0.75,-0.57
Reck,reversion-inducing-cysteine-rich protein with kazal motifs,0 vs 8; 2 vs 8; 4 vs 8,0.37,0.3,-0.03,-0.16,-0.07,-0.4,-0.53,-0.33,-0.46,0.27
LOC726450,nuclear hormone receptor FTZ-F1,0 vs 8; 2 vs 8; 4 vs 8,0.6,0.03,0.87,1.02,-0.56,0.28,0.43,0.84,0.99,-0.8
LOC100577229,cuticular protein 8,0 vs 8; 2 vs 8; 4 vs 8,-0.09,-0.1,0.65,2.01,-0.02,0.73,2.1,0.75,2.12,-0.58
LOC107965706,uncharacterized LOC107965706,0 vs 8; 2 vs 8; 4 vs 8,0.15,-0.03,0.75,1.57,-0.18,0.6,1.42,0.78,1.59,-1.17
LOC726513,ATP-binding cassette sub-family G member 5,0 vs 8; 2 vs 8; 4 vs 8,-0.06,0.03,-0.38,-0.32,0.08,-0.32,-0.26,-0.41,-0.34,0.45
LOC409176,pro-resilin,0 vs 8; 2 vs 8; 4 vs 8,1.25,-0.49,4.36,6.28,-1.74,3.1,5.03,4.84,6.76,-3.8
LOC727164,eukaryotic translation initiation factor 3 subunit F-like,0 vs 8; 2 vs 8; 4 vs 8,1.4,0,2.56,4.14,-1.4,1.16,2.74,2.56,4.14,-2.19
LOC551360,transcription factor Ken,0 vs 8; 2 vs 8; 4 vs 8,0.18,0.12,0.69,1.15,-0.06,0.52,0.98,0.58,1.04,-1.05
Hbg3,alpha-glucosidase,0 vs 8; 2 vs 8; 4 vs 8,0.29,0.34,0.03,0.24,0.05,-0.26,-0.06,-0.31,-0.1,0.21
LOC412013,chorion peroxidase,0 vs 8; 2 vs 8; 4 vs 8,-0.14,-0.59,0.65,1.4,-0.45,0.79,1.54,1.24,1.99,-1.15
LOC410559,tubulin beta chain,0 vs 8; 2 vs 8; 4 vs 8,0.64,0.42,2.13,3.3,-0.21,1.49,2.66,1.71,2.88,-2.17
LOC726481,inositol monophosphatase 2,0 vs 8; 2 vs 8; 4 vs 8,-0.2,-0.33,0.05,-0.44,-0.13,0.25,-0.24,0.38,-0.11,-0.23
CPR2,cuticular protein 2,0 vs 8; 2 vs 8; 4 vs 8,0.82,-1.56,2.28,4.92,-2.39,1.46,4.1,3.84,6.49,-2.66
LOC413676,patched domain-containing protein 3,0 vs 8; 2 vs 8; 4 vs 8,0.02,-0.3,0.07,0.31,-0.32,0.05,0.29,0.37,0.62,-0.24
LOC724917,inactive serine protease scarface,0 vs 8; 2 vs 8; 4 vs 8,0.15,-0.24,0.81,1.26,-0.39,0.66,1.11,1.05,1.5,-0.91
LOC100577680,uncharacterized LOC100577680,0 vs 8; 2 vs 8; 4 vs 8,0.1,-1.05,1.3,3.28,-1.15,1.2,3.19,2.35,4.34,-1.61
LOC412917,probable serine/threonine-protein kinase dyrk2,0 vs 2; 0 vs 4,0.44,0.44,0.42,0.4,-0,-0.02,-0.04,-0.02,-0.04,-0.08
LOC551599,ADAM 17-like protease,0 vs 2; 0 vs 6,0.47,0.16,0.15,0.16,-0.31,-0.31,-0.3,-0.01,0,0.3
LOC725941,zinc finger protein 800,0 vs 2; 0 vs 6,-0.82,-0.91,-0.88,-1.08,-0.09,-0.06,-0.26,0.03,-0.17,-0
LOC411052,sialin,0 vs 2; 0 vs 6,-0.36,-0.39,-0.33,-0.26,-0.03,0.03,0.1,0.06,0.13,-0.11
LOC727447,nuclear pore complex protein Nup153,0 vs 2; 0 vs 6,-0.49,-0.68,-0.75,-0.91,-0.19,-0.26,-0.42,-0.07,-0.23,0.08
LOC724207,phospholipid scramblase 2,0 vs 2; 0 vs 6,0.34,0.52,0.44,0.54,0.18,0.1,0.2,-0.08,0.03,-0.04
LOC408504,protein FAM160B1,0 vs 2; 0 vs 6,0.7,0.61,0.6,0.59,-0.09,-0.09,-0.11,-0.01,-0.02,-0.02
LOC102656189,uncharacterized LOC102656189,0 vs 2; 0 vs 6,1.26,1.74,1.81,1.86,0.48,0.56,0.6,0.08,0.12,-0.73
LOC412646,uncharacterized LOC412646,0 vs 2; 0 vs 6,-0.35,-0.54,-0.41,-0.49,-0.19,-0.06,-0.14,0.13,0.06,-0.04
LOC413688,DNA-directed RNA polymerase III subunit RPC5,0 vs 2; 0 vs 6,-0.55,-0.55,-0.5,-0.67,-0,0.05,-0.12,0.05,-0.11,0.01
LOC107964089,aquaporin-11,0 vs 2; 0 vs 6,0.75,0.42,0.92,0.74,-0.33,0.17,-0.01,0.51,0.32,-0.14
LOC724622,DNA-binding protein RFX7,0 vs 2; 0 vs 6,0.6,0.35,0.36,0.28,-0.25,-0.24,-0.32,0.01,-0.06,0.24
LOC413000,proton-coupled amino acid transporter-like protein pathetic,0 vs 2; 0 vs 6,-0.26,-0.63,-0.99,-1.07,-0.37,-0.73,-0.81,-0.36,-0.44,0.35
LOC413328,phospholipid-transporting ATPase ID,0 vs 2; 0 vs 6,-0.45,-0.44,-0.63,-0.67,0,-0.18,-0.22,-0.18,-0.23,-0.03
LOC551419,alkaline ceramidase,0 vs 2; 0 vs 6,0.18,0.32,0.2,0.37,0.13,0.01,0.19,-0.12,0.06,0.15
LOC411158,leucine-rich repeat-containing protein 24,0 vs 2; 0 vs 6,-0.22,-0.25,-0.41,-0.44,-0.03,-0.19,-0.22,-0.16,-0.19,-0.16
LOC100577028,insulin-like growth factor I,0 vs 2; 0 vs 6,1.82,1.68,1.75,2.39,-0.14,-0.07,0.57,0.08,0.71,-0.15
LOC102654498,uncharacterized LOC102654498,0 vs 2; 0 vs 6,0.61,0.57,0.34,0.27,-0.04,-0.26,-0.34,-0.22,-0.3,0.3
LOC107964413,uncharacterized LOC107964413,0 vs 2; 0 vs 8,0.69,0.81,1.19,1.15,0.12,0.5,0.46,0.38,0.33,-0.19
LOC724907,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,0 vs 2; 0 vs 8,-0.4,-0.22,-0.36,-0.43,0.19,0.04,-0.03,-0.14,-0.22,-0.21
LOC411525,choline/ethanolamine kinase,0 vs 2; 0 vs 8,0.76,0.68,0.94,0.75,-0.08,0.18,-0.01,0.26,0.07,-0.37
LOC411306,inositol hexakisphosphate kinase 2,0 vs 2; 0 vs 8,0.28,0.21,0.33,0.3,-0.07,0.05,0.01,0.12,0.09,0.01
LOC409966,dexamethasone-induced Ras-related protein 1,0 vs 2; 0 vs 8,0.78,0.95,1.2,1.16,0.17,0.41,0.37,0.24,0.21,-0.46
LOC725775,uncharacterized LOC725775,0 vs 2; 0 vs 8,-0.41,-0.21,-0.19,-0.17,0.19,0.21,0.24,0.02,0.05,-0.2
LOC107964225,uncharacterized LOC107964225,0 vs 2; 0 vs 8,0.79,0.98,1.11,1.74,0.19,0.32,0.95,0.13,0.76,-0.04
LOC413448,raf homolog serine/threonine-protein kinase Raf,0 vs 2; 0 vs 8,0.41,0.43,0.3,0.16,0.02,-0.11,-0.25,-0.13,-0.27,0.09
LOC413354,integrin-linked protein kinase homolog pat-4,0 vs 2; 0 vs 8,0.52,0.51,0.49,0.54,-0.02,-0.03,0.02,-0.01,0.04,-0.01
LOC725586,exonuclease 3'-5' domain-containing protein 2,0 vs 2; 0 vs 8,0.22,0.14,0.09,0.13,-0.08,-0.13,-0.09,-0.06,-0.01,0.16
LOC100577280,uncharacterized LOC100577280,0 vs 2; 0 vs 8,-0.32,0.01,-0.07,-0.56,0.34,0.25,-0.24,-0.08,-0.57,-0.37
LOC410620,heat shock protein Hsp70Ab-like,0 vs 2; 2 vs 8,2.46,0.79,0.64,1,-1.67,-1.81,-1.45,-0.14,0.22,1.02
LOC113219065,uncharacterized LOC113219065,0 vs 2; 2 vs 8,0.87,1.02,0.89,1.22,0.14,0.02,0.34,-0.13,0.2,0.17
LOC413103,cysteine and histidine-rich protein 1 homolog,0 vs 2; 2 vs 8,0.56,-0.03,-0.24,0.01,-0.59,-0.79,-0.55,-0.2,0.04,0.8
LOC100578739,RYamide receptor,0 vs 2; 2 vs 8,1.26,1,0.62,0.56,-0.25,-0.63,-0.7,-0.38,-0.44,0.38
LOC551687,uncharacterized LOC551687,0 vs 2; 2 vs 8,-0.96,0.03,-0.16,0.39,1,0.81,1.35,-0.19,0.35,-1.26
LOC102654265,uncharacterized LOC102654265,0 vs 2; 2 vs 8,1.24,0.49,0.92,0.76,-0.75,-0.32,-0.48,0.43,0.27,0.47
